Crime_ID,FIR_No,Date,Time,Crime_Type,City,Area,Victim_Age,Victim_Gender,Weapon,Police_Station,Status
C0001,FIR202500001,2025-02-21,08:05,Theft,Kakinada,Ramanayyapeta,20.0,Female,,West PS,Pending
C0002,FIR202400002,2024-06-12,04:25,Assault,Kadapa,YV Street,53.0,Female,Stick,North PS,Solved
C0003,FIR202500003,2025-09-03,12:05,Theft,Tirupati,Alipiri,18.0,Female,,East PS,Solved
C0004,FIR202400004,2024-05-09,00:20,Theft,Vijayawada,Patamata,45.0,Female,,South PS,Pending
C0005,FIR202400005,2024-12-17,16:35,Theft,Eluru,Ashok Nagar,31.0,Female,,Central PS,Pending
C0006,FIR202500006,2025-06-17,21:30,Cyber Crime,Tirupati,Bairagipatteda,41.0,Male,,North PS,Solved
C0007,FIR202400007,2024-06-23,10:25,Murder,Vizianagaram,RTC Complex,53.0,Female,Gun,Central PS,Pending
C0008,FIR202400008,2024-01-17,06:45,Murder,Anantapur,Sapthagiri Circle,23.0,Female,Gun,Central PS,Pending
C0009,FIR202500009,2025-10-16,09:35,Robbery,Tirupati,Alipiri,66.0,Male,Knife,West PS,Pending
C0010,FIR202500010,2025-03-31,12:35,Robbery,Visakhapatnam,Seethammadhara,20.0,Male,Knife,North PS,Pending
C0011,FIR202400011,2024-12-26,21:20,Robbery,Hyderabad,Madhapur,45.0,Female,Knife,Central PS,Solved
C0012,FIR202500012,2025-12-25,02:05,Cyber Crime,Vijayawada,Gunadala,45.0,Male,,West PS,Pending
C0013,FIR202400013,2024-01-30,10:20,Theft,Kurnool,Nandyal Checkpost,48.0,Male,,West PS,Pending
C0014,FIR202500014,2025-10-16,20:10,Murder,Rajahmundry,Danavaipeta,44.0,Male,Gun,North PS,Pending
C0015,FIR202500015,2025-10-04,01:40,Robbery,Ongole,Kurnool Road,42.0,Female,Knife,North PS,Pending
C0016,FIR202500016,2025-07-01,10:40,Murder,Rajahmundry,Danavaipeta,25.0,Male,Gun,West PS,Pending
C0017,FIR202400017,2024-05-19,14:50,Murder,Hyderabad,Hitech City,19.0,Female,Gun,East PS,Pending
C0018,FIR202400018,2024-06-11,16:25,Assault,Tirupati,Alipiri,51.0,Male,Stick,South PS,Solved
C0019,FIR202400019,2024-08-18,18:25,Cyber Crime,Ongole,Kurnool Road,23.0,Female,,West PS,Solved
C0020,FIR202500020,2025-02-11,01:40,Robbery,Rajahmundry,Innespeta,23.0,Male,Knife,West PS,Solved
C0021,FIR202500021,2025-08-01,07:05,Theft,Guntur,Arundelpet,56.0,Female,,Central PS,Pending
C0022,FIR202500022,2025-07-01,04:35,Cyber Crime,Kurnool,Budhawarapeta,49.0,Female,,Central PS,Pending
C0023,FIR202400023,2024-12-14,12:15,Cyber Crime,Kadapa,YV Street,50.0,Male,,West PS,Solved
C0024,FIR202400024,2024-12-17,22:45,Cyber Crime,Anantapur,Sapthagiri Circle,25.0,Male,,South PS,Pending
C0025,FIR202400025,2024-11-19,11:15,Assault,Vizianagaram,RTC Complex,67.0,Female,Stick,South PS,Solved
C0026,FIR202500026,2025-02-28,12:40,Robbery,Tirupati,Alipiri,34.0,Male,Knife,West PS,Pending
C0027,FIR202400027,2024-05-05,08:40,Assault,Vijayawada,Gunadala,70.0,Female,Stick,Central PS,Pending
C0028,FIR202400028,2024-11-01,03:35,Theft,Anantapur,Sapthagiri Circle,54.0,Female,,North PS,Pending
C0029,FIR202500029,2025-07-30,18:25,Assault,Kadapa,YV Street,33.0,Female,Stick,West PS,Pending
C0030,FIR202400030,2024-05-06,00:30,Assault,Hyderabad,Kukatpally,60.0,Female,Stick,North PS,Pending
C0031,FIR202500031,2025-07-08,04:25,Cyber Crime,Hyderabad,LB Nagar,41.0,Male,,West PS,Solved
C0032,FIR202500032,2025-12-23,18:00,Murder,Kurnool,Nandyal Checkpost,38.0,Female,Gun,North PS,Solved
C0033,FIR202500033,2025-03-02,11:30,Assault,Kakinada,Ramanayyapeta,20.0,Male,Stick,East PS,Solved
C0034,FIR202500034,2025-06-21,05:55,Robbery,Hyderabad,Madhapur,51.0,Male,Knife,South PS,Pending
C0035,FIR202500035,2025-06-24,02:05,Murder,Guntur,Arundelpet,46.0,Female,Gun,North PS,Solved
C0036,FIR202400036,2024-04-23,01:45,Murder,Tirupati,Bairagipatteda,45.0,Female,Gun,West PS,Pending
C0037,FIR202400037,2024-07-18,06:15,Robbery,Nellore,Magunta Layout,20.0,Male,Knife,North PS,Solved
C0038,FIR202500038,2025-02-26,20:25,Murder,Hyderabad,Ameerpet,53.0,Male,Gun,Central PS,Solved
C0039,FIR202400039,2024-07-09,09:05,Murder,Ongole,Kurnool Road,36.0,Female,Gun,North PS,Solved
C0040,FIR202500040,2025-04-22,07:30,Assault,Eluru,Ashok Nagar,32.0,Female,Stick,East PS,Solved
C0041,FIR202400041,2024-02-13,09:10,Murder,Vijayawada,Kanuru,48.0,Male,Gun,North PS,Solved
C0042,FIR202500042,2025-07-19,19:00,Murder,Kadapa,YV Street,46.0,Female,Gun,South PS,Pending
C0043,FIR202400043,2024-04-18,16:05,Robbery,Tirupati,Alipiri,55.0,Female,Knife,Central PS,Solved
C0044,FIR202400044,2024-05-09,15:10,Murder,Visakhapatnam,Dwaraka Nagar,18.0,Male,Gun,Central PS,Pending
C0045,FIR202400045,2024-08-12,14:30,Theft,Vijayawada,Patamata,30.0,Female,,Central PS,Solved
C0046,FIR202500046,2025-12-13,02:10,Robbery,Vijayawada,Kanuru,60.0,Male,Knife,South PS,Pending
C0047,FIR202400047,2024-08-28,13:25,Robbery,Kadapa,YV Street,60.0,Male,Knife,Central PS,Solved
